"predicted returns %","predicted price","ticker.multisma.signals","20 day sma","50 day sma","recommendation signals","actual returns %","ticker.return.factors","open","close","high","low","volume","ticker.sma.signals","ticker.bbands.signals","lower bband ","mavg","higher bband","bband pctb","money flow index","Close.EMA.14","ticker.rsi.signals"
"2012-09-26",-0.5,749.6927,"hold",709.576,670.0774,"hold",1,"0",749.85,753.46,761.24,741,5672900,"hold","hold",663.183867304897,709.576,755.968132695103,0.972968124664731,69.8045093931935,82.069971260855,"sell"
"2012-09-27",-0.5,752.7175,"hold",713.0005,673.5922,"hold",0,"0",759.95,756.5,762.84,751.65,3931100,"hold","hold",663.476010512475,713.0005,762.524989487525,0.939171614388445,70.4101414857071,82.7413363059649,"sell"
"2012-09-28",-0.5,750.7275,"hold",716.6415,676.821,"hold",0,"1",754.15,754.5,759.3,751.15,2783500,"hold","hold",666.16482725902,716.6415,767.11817274098,0.875009860438604,69.8075713146553,80.6030286244825,"sell"
"2012-10-01",-1,754.1622,"hold",720.476,679.8402,"hold",1,"-1",759.05,761.78,765,756.21,3168000,"hold","hold",668.538746164242,720.476,772.413253835758,0.89763365358723,74.3432450324669,82.3872953812975,"sell"
"2012-10-02",-1,749.4201,"hold",724.2735,682.6698,"hold",-1,"1",765.2,756.99,765.99,750.27,2790200,"hold","hold",673.328341927814,724.2735,775.218658072186,0.821095284007589,73.7423146905958,77.3458867613095,"sell"
"2012-10-03",-0.5,758.6875,"hold",728.3625,685.7684,"hold",1,"1",755.72,762.5,763.92,752.2,2208300,"hold","hold",678.951964331987,728.3625,777.773035668013,0.84544758054606,73.6052015224234,78.9421566214638,"sell"
"2012-10-04",-1,760.3695,"hold",731.795,688.9696,"hold",1,"0",762.75,768.05,769.89,759.4,2454200,"hold","hold",681.381439721043,731.795,782.208560278957,0.859575874024645,73.6201558184902,80.4374000040494,"sell"
"2012-10-05",-1,759.9735,"hold",734.87,692.0554,"hold",0,"-1",770.71,767.65,774.38,765.01,2735900,"hold","hold",683.59342094094,734.87,786.14657905906,0.819639108161294,77.225471916592,79.9965196141537,"sell"
"2012-10-08",-1,750.2616,"hold",737.7235,694.513,"hold",-1,"-2",761,757.84,763.58,754.15,1958600,"hold","hold",688.027626016338,737.7235,787.419373983662,0.702396078260074,73.242387294788,69.8804430645569,"hold"
"2012-10-09",-1,736.6491,"hold",740.3185,696.7488,"hold",-2,"0",759.67,744.09,761.32,742.53,3003200,"hold","hold",695.194334290261,740.3185,785.442665709739,0.541790246320121,67.2068876978711,58.6796905063225,"hold"
"2012-10-10",-1,737.1144,"hold",743.0025,698.9806,"hold",0,"1",741.86,744.56,747.53,738.29,2039900,"buy","hold",703.987888442277,743.0025,782.017111557723,0.51996047042139,62.5359442647235,58.9220611634234,"hold"
"2012-10-11",-1,743.9652,"hold",745.2745,701.3566,"hold",1,"-1",752.9,751.48,758.5,750.29,2383900,"hold","hold",710.023680165562,745.2745,780.525319834438,0.588019229469629,59.3595249675949,62.4174510563531,"hold"
"2012-10-12",-1,737.3025,"hold",747.028,703.6766,"hold",-1,"-1",751.85,744.75,754.87,744.1,2404200,"hold","hold",715.771279378668,747.028,778.284720621332,0.463559836817217,52.8518872199264,57.309926246607,"hold"
