"predicted returns %","predicted price","ticker.multisma.signals","20 day sma","50 day sma","recommendation signals","actual returns %","ticker.return.factors","open","close","high","low","volume","ticker.sma.signals","ticker.bbands.signals","lower bband ","mavg","higher bband","bband pctb","money flow index","Close.EMA.14","ticker.rsi.signals"
"2012-11-15",-1,507.611978489808,"hold",568.522884109202,616.680764211278,"hold",-2,"0",524.357510644719,512.739372211927,526.279234634022,509.812888979486,28919796.6562067,"hold","hold",500.869068280595,568.522884109202,636.176699937809,0.0877282662178556,29.5287803884497,24.5975974176207,"buy"
"2012-11-16",-4,494.158935070275,"hold",562.962604963909,613.95908181694,"buy",0,"7",512.329664559385,514.748890698203,517.012037731291,493.356298269058,46382838.7927468,"hold","hold",496.841330334872,562.962604963909,629.083879592947,0.135414512679913,28.1283624449331,25.8423190675277,"buy"
"2012-11-19",-1,546.34778849937,"hold",559.839382868888,611.862446717368,"hold",7,"-1",527.459582871107,551.866453029667,553.593078136807,526.649922510131,30142868.7586954,"hold","hold",497.953281292774,559.839382868888,621.725484445003,0.435583841636755,37.628612193357,44.1737904371806,"hold"
"2012-11-20",-0.5,544.428747119697,"hold",557.588074113623,609.590787618965,"hold",-1,"0",557.895008488496,547.164569969544,557.934028264928,540.989690349093,23532169.6829104,"sell","hold",497.318479350315,557.588074113623,617.85766887693,0.413526014360858,43.9776655290373,42.7327406283259,"hold"
"2012-11-21",-0.5,545.195534501317,"hold",554.200801280133,607.678296290531,"hold",0,"2",550.422721301662,547.935210554087,553.466263863401,542.960189058937,13656152.0520525,"hold","hold",500.069338487555,554.200801280133,608.332264072711,0.442126164684908,39.9880342217373,43.0606032623229,"hold"
"2012-11-23",3.5,577.007382732364,"hold",552.295110395458,605.998757412396,"buy",2,"3",553.271164981239,557.495055780062,557.982802985469,548.81315552382,9988575.93850458,"hold","hold",501.551309128117,552.295110395458,603.038911662799,0.551237247257144,44.5089903668773,47.1061253217445,"hold"
"2012-11-26",-0.5,572.207803906999,"hold",551.100348950207,604.492306925232,"hold",3,"-1",561.787231187643,575.083220007034,575.541702380117,559.650898427961,23086446.9855991,"hold","hold",503.801127853681,551.100348950207,598.399570046733,0.753522896369522,45.1466188918376,53.6332604581673,"hold"
"2012-11-27",-0.5,567.597373447891,"hold",550.02785866231,602.637019050979,"hold",-1,"0",575.10272989525,570.449621555669,575.951410032658,565.88430771306,19525996.0373433,"hold","hold",505.59159772961,550.02785866231,594.46411959501,0.729787143030418,46.1076004946437,51.8190436660244,"hold"
"2012-11-28",-0.5,565.811438280573,"hold",549.134606288175,600.584637154515,"hold",0,"1",563.123658530458,568.654711839772,571.444625854699,558.236431532281,19069612.0795628,"hold","hold",507.010386941531,549.134606288175,591.258825634819,0.731696941265114,47.3980942085079,51.0979898238311,"hold"
"2012-11-29",-0.5,572.04279902741,"hold",548.975927314524,598.492428675689,"hold",1,"-1",575.756311150496,574.917385957196,579.687553626075,570.908103928751,18843880.39155,"hold","hold",507.267351001767,548.975927314524,590.684503627281,0.810984705497333,56.250656696292,53.5278057211231,"hold"
"2012-11-30",-1.5,562.37330822966,"hold",548.559012869612,596.279252730843,"hold",-1,"0",572.410365321404,570.937368761076,573.980911322815,568.40108329296,14326786.3404173,"hold","hold",507.917207819784,548.559012869612,589.20081791944,0.775312032327636,48.639891473969,51.7673997734756,"hold"
"2012-12-03",-1,566.106817988167,"hold",549.144918854914,594.080140759299,"hold",0,"-2",579.102256979587,571.825068674916,580.019221725752,571.151977531455,13336826.7985739,"hold","hold",507.527926179682,549.144918854914,590.761911530147,0.772486649828253,47.8842673031136,52.1454267103509,"hold"
"2012-12-04",-4,539.268918208418,"hold",548.846810080993,591.745328569481,"sell",-2,"-6",567.542648211444,561.738456467102,567.542648211444,558.109617258875,20395093.7898284,"hold","hold",507.682807065935,548.846810080993,590.01081309605,0.656588832983443,47.5525233283391,47.5820238339008,"hold"
